"Fiscal Year","Name","Vendor","Organic","Local","Category 1","Category 2","Category 3","Weight","Unit","Dollars"
2017,"KOSHERPICKLES","","No","No","Vegetables","","","2915.3846153846","kilogram","0"
2017,"LEMON JUICE","","No","No","Fruits","","","835.93846153846","kilogram","0"
2017,"LEMON KIST FILLING","","No","No","Sugars","","","3981.2307692308","kilogram","0"
2017,"LEMONADE","","No","No","Liquids","","","2923.0769230769","kilogram","0"
2017,"LEMONGRASS","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"LETTUCE","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"LILIKOI/PASS JUICE","","No","No","Liquids","","","600.83076923077","kilogram","0"
2017,"LIME","","No","No","Fruits","","","34.923076923077","kilogram","0"
2017,"LIME GELATIN","","No","No","Sugars","","","615.38461538462","kilogram","0"
2017,"LIME JUICE","","No","No","Fruits","","","846.15384615385","kilogram","0"
2017,"LIMU-OGO","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"LINGUINI PASTA","","No","No","Grains","","","700","kilogram","0"
2017,"LIQUID EGGS","","No","No","Eggs","","","23747.692307692","kilogram","0"
2017,"LIQUID SMOKE","","No","No","Spices","","","1164.6153846154","kilogram","0"
2017,"MAJORAM LEAVES","","No","No","Spices","","","8.7076923076923","kilogram","0"
2017,"MALOLO SYRUP","","No","No","Sugars","","","291.15384615385","kilogram","0"
2017,"MANGO CHUNKS","","No","No","Fruits","","","698.46153846154","kilogram","0"
2017,"MANGO CHUTNEY","","No","No","Fruits","","","835.93846153846","kilogram","0"
2017,"MAPLE SYRUP","","No","No","Sugars","","","1153.8461538462","kilogram","0"
2017,"MARGARINE","","No","No","Milk","","","4190.7692307692","kilogram","0"
2017,"MARSHMALLOWS","","No","No","Sugars","","","419.07692307692","kilogram","0"
2017,"MAYO (1)","","No","No","Oils","","","1047.6923076923","kilogram","0"
2017,"MAYO (2)","","No","No","Eggs","","","1047.6923076923","kilogram","0"
2017,"MEATBALLS","","No","No","Beef","","","3143.0769230769","kilogram","0"
2017,"MEXICAN RICE","","No","No","Grains","","","338.29384615385","kilogram","0"
2017,"MIXED FRUIT","","No","No","Fruits","","","313.47692307692","kilogram","0"
2017,"MOCHI FLOUR","","No","No","Grains","","","1257.2307692308","kilogram","0"
2017,"MOZZARELA","","No","No","Cheese","","","698.46153846154","kilogram","0"
2017,"MUFFIN","","No","No","Grains","","","562.89846153846","kilogram","0"
2017,"MUSHROOM (1)","","No","No","Vegetables","","","2076.9230769231","kilogram","0"
2017,"MUSHROOM (2)","","No","No","Vegetables","","","174.61538461538","kilogram","0"
2017,"MUSHROOMS (3)","","No","No","Vegetables","","","698.46153846154","kilogram","0"
2017,"MUSTARD (1)","","No","No","Spices","","","315.38461538462","kilogram","0"
2017,"MUSTARD (2)","","No","No","Oils","","","315.38461538462","kilogram","0"
2017,"MUSTARD (3)","","No","No","Spices","","","10884.615384615","kilogram","0"
2017,"MUSTARD (4)","","No","No","Oils","","","10885.115384615","kilogram","0"
2017,"MUSTARD (5)","","No","No","Spices","","","419.07692307692","kilogram","0"
2017,"MUSTARD (6)","","No","No","Oils","","","419.07692307692","kilogram","0"
2017,"NESCAFE CHOCO BEV MIX","","No","No","Liquids","","","366.69230769231","kilogram","0"
2017,"NESCAFE DELICATE","","No","No","Coffee and tea","","","92.083846153846","kilogram","0"
2017,"NORI","","No","No","Vegetables","","","38.415384615385","kilogram","0"
2017,"OATS","","No","No","Grains","","","1097.1692307692","kilogram","0"
2017,"OKINAWA POTATO","","No","No","Potatoes","","","5587.6923076923","kilogram","0"
2017,"OKRA","","No","No","Vegetables","","","1257.2307692308","kilogram","0"
2017,"ONION","","No","No","Vegetables","","","1746.1538461538","kilogram","0"
2017,"ONION POWDER","","No","No","Spices","","","43.538461538462","kilogram","0"
2017,"ORANGE GELATIN","","No","No","Sugars","","","615.38461538462","kilogram","0"
2017,"ORANGE JUICE","","No","No","Liquids","","","783.69230769231","kilogram","0"
2017,"OREGANO","","No","No","Spices","","","104.76923076923","kilogram","0"
2017,"OREO COOKIES","","No","No","Grains","","","156.73846153846","kilogram","0"
2017,"OYSTER SAUCE (1)","","No","No","Oils","","","523.84615384615","kilogram","0"
2017,"OYSTER SAUCE (2)","","No","No","Fish","","","524.34615384615","kilogram","0"
2017,"PANCAKE MIX","","No","No","Grains","","","1047.6923076923","kilogram","0"
2017,"PANKO","","No","No","Grains","","","698.46153846154","kilogram","0"
2017,"PAPRIKA","","No","No","Spices","","","69.661538461538","kilogram","0"
2017,"PARMESAN (1)","","No","No","Cheese","","","698.46153846154","kilogram","0"
2017,"PARMESAN (2)","","No","No","Cheese","","","419.07692307692","kilogram","0"
2017,"PARSLEY","","No","No","Vegetables","","","26.123076923077","kilogram","0"
2017,"PARSLEY FLAKES","","No","No","Spices","","","21.769230769231","kilogram","0"
2017,"PASS/ORG/GUAVE JUICE","","No","No","Liquids","","","783.69230769231","kilogram","0"
2017,"PASTA (1)","","No","No","Grains","","","349.23076923077","kilogram","0"
2017,"PASTA (2)","","No","No","Grains","","","349.23076923077","kilogram","0"
2017,"PASTA (3)","","No","No","Grains","","","698.46153846154","kilogram","0"
2017,"PASTA (4)","","No","No","Grains","","","698.46153846154","kilogram","0"
2017,"PASTA SHEELS W/CHEESE (1)","","No","No","Grains","","","522.46153846154","kilogram","0"
